Nome,qnt Veiculos ,custo,Tempo,iteracao
A-n32-k5.vrp,5,784.0,00:00:07,4
A-n33-k5.vrp,5,661.0,00:00:04,2
A-n33-k6.vrp,6,742.0,00:00:07,4
A-n34-k5.vrp,5,786.0,00:00:04,2
A-n36-k5.vrp,5,813.0,00:00:04,2
A-n37-k5.vrp,5,669.0,00:00:06,2
A-n37-k6.vrp,6,949.0,00:00:04,2
A-n38-k5.vrp,5,731.0,00:00:06,2
A-n39-k5.vrp,6,832.0,00:00:06,2
A-n39-k6.vrp,6,834.0,00:00:09,3
A-n44-k6.vrp,6,958.0,00:00:07,2
A-n45-k6.vrp,7,958.0,00:00:22,8
A-n45-k7.vrp,7,1154.0,00:00:14,4
A-n46-k7.vrp,7,917.0,00:00:10,3
A-n48-k7.vrp,7,1079.0,00:00:15,4
A-n53-k7.vrp,7,1017.0,00:00:13,2
A-n54-k7.vrp,7,1170.0,00:00:40,8
A-n55-k9.vrp,9,1074.0,00:00:20,4
A-n60-k9.vrp,9,1366.0,00:00:32,5
A-n61-k9.vrp,10,1049.0,00:00:21,3
A-n62-k8.vrp,8,1313.0,00:00:24,3
A-n63-k10.vrp,10,1327.0,00:00:31,4
A-n63-k9.vrp,10,1651.0,00:00:40,6
A-n64-k9.vrp,9,1432.0,00:00:32,4
A-n65-k9.vrp,9,1189.0,00:00:24,3
A-n69-k9.vrp,9,1176.0,00:00:37,4
A-n80-k10.vrp,10,1793.0,00:01:44,9
B-n31-k5.vrp,5,672.0,00:00:05,3
B-n34-k5.vrp,5,788.0,00:00:07,3
B-n35-k5.vrp,5,955.0,00:00:05,2
B-n38-k6.vrp,6,806.0,00:00:10,4
B-n39-k5.vrp,5,550.0,00:00:06,2
B-n41-k6.vrp,6,834.0,00:00:13,5
B-n43-k6.vrp,6,745.0,00:00:09,2
B-n44-k7.vrp,7,912.0,00:00:09,3
B-n45-k5.vrp,5,751.0,00:00:12,3
B-n45-k6.vrp,7,715.0,00:00:09,2
B-n50-k7.vrp,7,741.0,00:00:11,2
B-n50-k8.vrp,8,1327.0,00:00:10,2
B-n51-k7.vrp,8,1016.0,00:00:18,4
B-n52-k7.vrp,7,750.0,00:00:13,2
B-n56-k7.vrp,7,709.0,00:00:14,2
B-n57-k7.vrp,8,1140.0,00:00:15,2
B-n57-k9.vrp,9,1616.0,00:00:19,3
B-n63-k10.vrp,10,1549.0,00:00:17,2
B-n64-k9.vrp,10,889.0,00:00:33,5
B-n66-k9.vrp,9,1323.0,00:00:22,2
B-n67-k10.vrp,10,1069.0,00:00:29,3
B-n68-k9.vrp,9,1299.0,00:00:22,2
B-n78-k10.vrp,10,1256.0,00:00:32,2
