Nome,qnt Veiculos ,custo,Tempo,iteracao
A-n32-k5.vrp,5,784.0,00:00:08,3
A-n33-k5.vrp,5,661.0,00:00:08,3
A-n33-k6.vrp,6,743.0,00:00:06,2
A-n34-k5.vrp,5,778.0,00:00:08,3
A-n36-k5.vrp,5,807.0,00:00:33,2
A-n37-k5.vrp,5,669.0,00:00:19,2
A-n38-k5.vrp,5,731.0,00:00:11,3
A-n39-k5.vrp,5,828.0,00:01:26,3
A-n44-k6.vrp,6,953.0,00:00:12,3
A-n45-k7.vrp,7,1164.0,00:00:19,2
A-n60-k9.vrp,9,1364.0,00:00:50,5
A-n61-k9.vrp,10,1045.0,00:00:32,4
A-n62-k8.vrp,8,1319.0,00:00:56,5
A-n63-k10.vrp,10,1334.0,00:00:32,4
A-n63-k9.vrp,10,1638.0,00:00:27,3
A-n64-k9.vrp,9,1438.0,00:00:37,2
A-n65-k9.vrp,9,1181.0,00:00:48,6
A-n69-k9.vrp,9,1182.0,00:00:51,4
A-n80-k10.vrp,10,1808.0,00:02:36,3
B-n34-k5.vrp,5,788.0,00:00:21,2
B-n35-k5.vrp,5,955.0,00:01:04,2
B-n41-k6.vrp,6,842.0,00:00:11,2
B-n43-k6.vrp,6,745.0,00:00:10,2
B-n44-k7.vrp,7,924.0,00:00:38,3
B-n50-k7.vrp,7,741.0,00:00:13,2
B-n50-k8.vrp,8,1325.0,00:00:41,3
B-n51-k7.vrp,8,1016.0,00:01:55,2
B-n57-k7.vrp,8,1140.0,00:01:32,2
B-n57-k9.vrp,9,1608.0,00:02:12,2
B-n66-k9.vrp,9,1330.0,00:00:35,3
B-n68-k9.vrp,9,1294.0,00:02:05,6
B-n78-k10.vrp,10,1247.0,00:08:05,4
